Index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1,0.59,0.493,7,-8.704,0,0.0367,0.402,0.00504,0.129,0.0498,150.026,audio_features,7F9cT6hIRhnFCYP6GKS0tf,spotify:track:7F9cT6hIRhnFCYP6GKS0tf,https://api.spotify.com/v1/tracks/7F9cT6hIRhnFCYP6GKS0tf,https://api.spotify.com/v1/audio-analysis/7F9cT6hIRhnFCYP6GKS0tf,252379,4
2,0.595,0.617,1,-4.238,1,0.31,0.0395,4.06E-06,0.619,0.464,159.83,audio_features,3BDpkLMkgrtrM3HckrVIXr,spotify:track:3BDpkLMkgrtrM3HckrVIXr,https://api.spotify.com/v1/tracks/3BDpkLMkgrtrM3HckrVIXr,https://api.spotify.com/v1/audio-analysis/3BDpkLMkgrtrM3HckrVIXr,198107,4
3,0.692,0.638,6,-12.76,0,0.298,0.847,0.00169,0.121,0.147,126.133,audio_features,22Vsz6sIdD97KROSX7oAyq,spotify:track:22Vsz6sIdD97KROSX7oAyq,https://api.spotify.com/v1/tracks/22Vsz6sIdD97KROSX7oAyq,https://api.spotify.com/v1/audio-analysis/22Vsz6sIdD97KROSX7oAyq,249534,4
4,0.616,0.512,0,-6.721,0,0.317,0.117,0,0.122,0.513,80.399,audio_features,2mjpHatY3Nq4Ks2pbzGR2s,spotify:track:2mjpHatY3Nq4Ks2pbzGR2s,https://api.spotify.com/v1/tracks/2mjpHatY3Nq4Ks2pbzGR2s,https://api.spotify.com/v1/audio-analysis/2mjpHatY3Nq4Ks2pbzGR2s,168991,4
5,0.678,0.669,0,-7.253,1,0.0426,0.523,3.21E-05,0.101,0.153,106.031,audio_features,5KT9bi1P90JBnNMc4pxHDb,spotify:track:5KT9bi1P90JBnNMc4pxHDb,https://api.spotify.com/v1/tracks/5KT9bi1P90JBnNMc4pxHDb,https://api.spotify.com/v1/audio-analysis/5KT9bi1P90JBnNMc4pxHDb,216800,4
6,0.621,0.751,6,-4.81,0,0.027,0.0423,3.78E-06,0.316,0.685,113.009,audio_features,3tHUvprpEXpEHWLZJ8ZI80,spotify:track:3tHUvprpEXpEHWLZJ8ZI80,https://api.spotify.com/v1/tracks/3tHUvprpEXpEHWLZJ8ZI80,https://api.spotify.com/v1/audio-analysis/3tHUvprpEXpEHWLZJ8ZI80,239373,4
7,0.469,0.533,9,-5.58,0,0.0321,0.229,0,0.105,0.142,76.039,audio_features,58Tml7P9dP7aGplLopXFds,spotify:track:58Tml7P9dP7aGplLopXFds,https://api.spotify.com/v1/tracks/58Tml7P9dP7aGplLopXFds,https://api.spotify.com/v1/audio-analysis/58Tml7P9dP7aGplLopXFds,231853,4
8,0.616,0.618,5,-7.037,1,0.0324,0.152,0,0.25,0.483,76.014,audio_features,31eyOmUyhWmDAevi6Wd24S,spotify:track:31eyOmUyhWmDAevi6Wd24S,https://api.spotify.com/v1/tracks/31eyOmUyhWmDAevi6Wd24S,https://api.spotify.com/v1/audio-analysis/31eyOmUyhWmDAevi6Wd24S,185492,4
9,0.725,0.64,5,-7.905,0,0.332,0.0281,0,0.099,0.915,166.028,audio_features,6glsMWIMIxQ4BedzLqGVi4,spotify:track:6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/tracks/6glsMWIMIxQ4BedzLqGVi4,https://api.spotify.com/v1/audio-analysis/6glsMWIMIxQ4BedzLqGVi4,240027,3
10,0.631,0.714,1,-5.62,1,0.338,0.445,0,0.109,0.765,80.011,audio_features,2Q2mMT9N8v9uMsxiPQHemP,spotify:track:2Q2mMT9N8v9uMsxiPQHemP,https://api.spotify.com/v1/tracks/2Q2mMT9N8v9uMsxiPQHemP,https://api.spotify.com/v1/audio-analysis/2Q2mMT9N8v9uMsxiPQHemP,219000,4
11,0.54,0.747,0,-8.597,1,0.399,0.0826,1.48E-05,0.231,0.209,177.354,audio_features,41a70FyJAwtb8yui5Ljnpi,spotify:track:41a70FyJAwtb8yui5Ljnpi,https://api.spotify.com/v1/tracks/41a70FyJAwtb8yui5Ljnpi,https://api.spotify.com/v1/audio-analysis/41a70FyJAwtb8yui5Ljnpi,165400,4
12,0.665,0.566,3,-9.209,0,0.443,0.484,0,0.16,0.755,173.804,audio_features,2Ja3UauMDeQnq4sI8a64Ys,spotify:track:2Ja3UauMDeQnq4sI8a64Ys,https://api.spotify.com/v1/tracks/2Ja3UauMDeQnq4sI8a64Ys,https://api.spotify.com/v1/audio-analysis/2Ja3UauMDeQnq4sI8a64Ys,259800,4
13,0.743,0.693,10,-7.624,0,0.114,0.326,0,0.205,0.567,104.522,audio_features,5omIW7YOPhA6CULhkdz6jE,spotify:track:5omIW7YOPhA6CULhkdz6jE,https://api.spotify.com/v1/tracks/5omIW7YOPhA6CULhkdz6jE,https://api.spotify.com/v1/audio-analysis/5omIW7YOPhA6CULhkdz6jE,162467,4
14,0.827,0.81,4,-1.257,0,0.223,0.57,1.28E-05,0.2,0.524,88.69,audio_features,2BMRUAA1oTc7e9JPlr6xbZ,spotify:track:2BMRUAA1oTc7e9JPlr6xbZ,https://api.spotify.com/v1/tracks/2BMRUAA1oTc7e9JPlr6xbZ,https://api.spotify.com/v1/audio-analysis/2BMRUAA1oTc7e9JPlr6xbZ,238307,4
15,0.609,0.807,9,-4.718,0,0.282,0.158,0.0106,0.0674,0.815,96.076,audio_features,4TvxDMTOkbK2yt7IfHWqZQ,spotify:track:4TvxDMTOkbK2yt7IfHWqZQ,https://api.spotify.com/v1/tracks/4TvxDMTOkbK2yt7IfHWqZQ,https://api.spotify.com/v1/audio-analysis/4TvxDMTOkbK2yt7IfHWqZQ,183440,4
16,0.708,0.611,8,-6.019,1,0.331,0.292,0,0.106,0.221,84.43,audio_features,7bgJm5Z7EpvXRMdysiUjCj,spotify:track:7bgJm5Z7EpvXRMdysiUjCj,https://api.spotify.com/v1/tracks/7bgJm5Z7EpvXRMdysiUjCj,https://api.spotify.com/v1/audio-analysis/7bgJm5Z7EpvXRMdysiUjCj,184160,4
